ID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9
1,8,6,4,5,5,5,3,3,2
2,7,6,6,6,4,2,7,4,6
3,7,7,9,6,8,7,8,8,8
4,7,7,6,6,5,5,8,8,8
5,3,3,3,1,1,1,8,8,8
6,7,8,8,7,6,7,6,6,7
7,7,9,9,6,5,3,7,6,5
8,8,7,7,3,4,4,7,8,6
9,4,4,5,3,4,4,7,7,5
10,7,7,7,5,4,2,7,8,8
11,5,4,5,4,4,4,7,8,7
12,8,8,8,7,7,7,7,8,6
13,5,7,7,6,6,5,8,8,8
14,5,5,5,2,2,2,5,7,4
15,7,6,7,8,8,6,9,9,8
16,6,6,7,4,6,3,2,8,2
17,8,8,8,2,2,2,5,6,6
18,8,7,6,1,7,2,5,5,4
19,8,8,7,4,4,4,8,8,8
20,8,7,7,8,9,8,8,8,7
21,7,8,7,4,4,3,8,8,8
22,7,8,7,9,9,9,7,8,8
23,7,5,4,6,4,3,3,4,2
24,8,8,9,7,9,9,4,5,5
25,7,7,7,4,5,5,7,5,6
26,7,7,7,4,4,4,7,7,6
27,7,8,7,8,8,8,6,7,6
28,8,8,8,7,8,7,6,7,6
29,7,6,6,4,4,3,5,4,6
30,9,8,8,2,3,1,7,8,8
31,3,2,1,1,3,1,2,4,2
32,8,8,8,7,6,5,6,6,6
33,9,7,9,7,8,9,9,9,8
34,7,6,5,7,6,4,9,9,8
35,6,5,7,6,5,4,6,7,7
36,5,5,6,5,5,5,6,6,6
37,5,3,1,2,3,1,5,5,2
38,7,7,8,3,3,1,3,2,2
39,7,7,7,6,5,5,6,6,6
40,7,7,7,8,9,8,5,4,5
41,9,8,8,9,8,9,9,9,9
42,5,5,4,5,3,6,3,5,5
43,7,7,7,3,3,5,7,6,7
44,6,4,6,6,5,4,6,7,6
45,6,5,4,3,3,3,8,6,7
46,8,8,8,8,7,6,7,8,7
47,8,7,6,5,6,4,8,8,8
48,6,4,4,6,6,6,4,5,4
49,7,7,8,2,1,1,7,7,8
50,6,7,7,2,3,2,3,3,4
51,7,8,7,7,7,6,8,9,8
52,7,5,6,8,8,7,5,7,8
53,3,3,3,3,3,3,3,8,5
54,8,8,8,7,6,4,6,6,5
55,5,3,6,3,3,3,6,8,3
56,8,8,8,7,8,8,8,9,9
57,8,6,4,7,7,8,8,8,8
58,8,8,9,6,8,7,7,7,5
59,6,4,4,1,1,1,4,5,2
60,6,3,1,1,3,1,6,3,1
61,4,4,6,3,3,3,6,6,6
62,6,5,7,5,5,3,8,8,8
63,8,6,8,7,7,7,6,5,4
64,8,8,7,8,7,8,7,7,7
65,7,7,6,4,3,4,7,7,6
66,6,6,7,5,4,4,8,8,6
67,7,7,6,5,5,4,8,9,7
68,6,6,7,4,5,6,6,7,8
69,7,8,8,6,6,5,7,7,7
70,7,7,7,7,8,8,8,9,8
71,6,7,5,3,4,3,5,7,7
72,6,5,7,8,6,5,7,8,7
73,7,7,7,7,7,8,8,7,7
74,7,9,9,8,9,9,6,5,5
75,3,3,3,3,3,3,5,5,5
76,7,7,7,9,8,9,7,8,7
77,7,4,4,6,7,7,8,8,7
78,5,5,6,8,6,6,8,8,7
79,5,5,5,5,5,5,7,7,5
80,6,6,6,5,9,7,6,8,7
81,7,6,7,6,7,6,5,8,5
82,7,7,7,5,4,1,5,5,5
83,6,4,6,4,4,5,6,8,7
84,7,6,7,4,3,3,5,5,6
85,7,7,6,6,8,5,8,9,8
86,9,8,8,3,3,4,9,9,9
87,7,7,7,6,6,6,7,7,7
88,5,5,6,4,4,4,4,7,5
89,7,7,8,5,5,8,7,7,5
90,8,8,9,1,2,1,8,8,5
91,7,5,3,1,2,1,5,7,5
92,6,6,6,4,6,5,8,8,8
93,6,6,7,5,5,7,9,9,8
94,6,8,7,5,6,3,5,8,6
95,7,7,7,5,7,5,6,7,6
96,7,7,6,4,3,3,8,8,7
97,7,5,6,7,5,4,3,1,2
