ID,Awkward,Extra
477,5,4
130,4,3
346,5,4
248,5,4
122,6,5
400,7,4
458,5,4
351,6,5
154,6,6
361,5,4
259,5,4
254,4,4
134,5,4
493,6,4
302,4,6
468,4,2
12,6,5
364,5,6
385,4,5
85,4,5
233,5,3
312,3,6
404,4,5
206,5,4
56,4,5
243,5,6
352,8,4
121,5,7
481,3,4
286,5,6
166,6,3
94,5,5
381,4,5
496,5,4
104,6,6
107,6,4
299,7,7
283,6,6
304,4,4
198,4,7
109,9,6
225,4,4
459,4,4
114,4,5
5,3,3
22,5,4
329,5,6
382,6,5
77,6,5
64,6,5
196,4,7
415,3,5
175,6,4
24,7,6
103,6,5
343,6,6
354,6,4
187,5,5
307,3,7
146,6,5
357,5,5
434,5,5
344,6,5
465,4,6
260,6,7
362,4,5
245,7,5
106,7,6
407,4,6
17,4,5
136,5,6
177,5,4
14,6,3
236,6,3
390,5,5
218,6,6
285,6,6
145,6,4
271,6,5
60,6,4
320,4,6
473,5,3
486,5,4
383,5,4
379,6,5
217,4,5
427,7,4
86,6,4
188,4,5
399,7,5
435,5,4
250,5,5
84,4,5
228,6,6
220,6,6
26,4,3
376,8,3
38,3,6
164,5,4
181,6,4
447,5,6
449,3,5
336,5,5
7,4,3
71,5,5
287,5,4
489,5,4
472,4,4
159,4,4
298,5,3
375,4,3
282,6,6
251,5,6
95,5,5
123,5,5
59,6,4
156,4,4
380,6,4
49,5,3
162,5,4
174,5,5
446,5,5
322,6,6
278,6,4
448,3,5
377,6,4
369,5,3
237,4,5
16,5,3
240,5,6
499,6,7
324,6,4
264,4,3
117,4,5
63,4,4
172,5,5
453,6,5
150,7,5
66,6,4
46,6,5
406,5,5
53,4,7
425,6,4
297,5,4
483,5,3
252,4,5
91,5,4
140,5,6
28,5,4
323,4,6
110,5,5
58,4,5
90,4,4
48,6,5
178,4,5
35,7,2
487,5,4
185,4,4
167,4,4
319,4,6
80,5,4
112,6,3
168,6,5
137,3,4
68,6,3
124,5,5
189,5,5
97,5,4
466,5,5
445,5,5
171,4,5
391,5,6
98,7,3
195,5,4
151,5,4
294,3,4
9,5,5
455,6,6
258,4,3
464,5,6
430,4,5
127,4,4
386,5,4
432,7,5
42,4,6
83,5,3
158,6,5
403,5,5
143,5,6
81,4,4
331,4,6
235,5,4
276,6,7
457,6,7
230,6,5
485,7,4
6,6,6
273,4,6
418,3,7
223,5,4
25,6,5
62,5,6
29,5,5
239,5,5
275,5,3
328,5,6
417,5,3
65,6,6
479,4,5
183,5,5
350,6,5
460,6,5
440,5,3
436,6,5
288,7,5
27,4,6
152,6,4
396,5,5
424,5,4
310,5,7
244,5,5
212,5,6
267,6,4
413,5,4
358,4,4
209,5,6
365,5,5
